hotel,country,deposit_type,total
Resort Hotel,PRT,No Deposit,2.0
Resort Hotel,PRT,No Deposit,2.0
Resort Hotel,GBR,No Deposit,1.0
Resort Hotel,GBR,No Deposit,1.0
Resort Hotel,GBR,No Deposit,2.0
Resort Hotel,GBR,No Deposit,2.0
Resort Hotel,PRT,No Deposit,2.0
Resort Hotel,PRT,No Deposit,2.0
Resort Hotel,PRT,No Deposit,2.0
Resort Hotel,PRT,No Deposit,2.0
Resort Hotel,PRT,No Deposit,2.0
Resort Hotel,PRT,No Deposit,2.0
Resort Hotel,USA,No Deposit,2.0
Resort Hotel,ESP,No Deposit,3.0
Resort Hotel,PRT,No Deposit,2.0
Resort Hotel,IRL,No Deposit,2.0
Resort Hotel,PRT,No Deposit,2.0
Resort Hotel,IRL,No Deposit,2.0
Resort Hotel,FRA,No Deposit,2.0
Resort Hotel,GBR,No Deposit,2.0
Resort Hotel,GBR,No Deposit,1.0
Resort Hotel,PRT,No Deposit,2.0
Resort Hotel,PRT,No Deposit,2.0
Resort Hotel,PRT,No Deposit,2.0
Resort Hotel,GBR,No Deposit,2.0
Resort Hotel,PRT,No Deposit,2.0
Resort Hotel,IRL,No Deposit,2.0
Resort Hotel,PRT,No Deposit,2.0
Resort Hotel,PRT,No Deposit,2.0
Resort Hotel,PRT,No Deposit,2.0
Resort Hotel,GBR,No Deposit,2.0
Resort Hotel,PRT,No Deposit,2.0
Resort Hotel,IRL,No Deposit,2.0
Resort Hotel,PRT,No Deposit,3.0
Resort Hotel,PRT,No Deposit,3.0
Resort Hotel,ESP,No Deposit,2.0
Resort Hotel,PRT,No Deposit,3.0
Resort Hotel,PRT,No Deposit,3.0
Resort Hotel,ROU,No Deposit,2.0
Resort Hotel,PRT,No Deposit,2.0
Resort Hotel,IRL,No Deposit,2.0
Resort Hotel,ESP,No Deposit,2.0
Resort Hotel,ROU,No Deposit,2.0
Resort Hotel,PRT,No Deposit,2.0
Resort Hotel,PRT,No Deposit,4.0
Resort Hotel,ESP,No Deposit,2.0
Resort Hotel,NOR,No Deposit,2.0
Resort Hotel,GBR,No Deposit,2.0
Resort Hotel,IRL,No Deposit,2.0
Resort Hotel,NOR,No Deposit,2.0
Resort Hotel,IRL,No Deposit,2.0
Resort Hotel,OMN,No Deposit,2.0
Resort Hotel,ESP,No Deposit,2.0
Resort Hotel,ARG,No Deposit,2.0
Resort Hotel,ESP,No Deposit,4.0
Resort Hotel,PRT,No Deposit,2.0
Resort Hotel,PRT,No Deposit,2.0
Resort Hotel,PRT,No Deposit,2.0
Resort Hotel,USA,No Deposit,2.0
Resort Hotel,PRT,No Deposit,2.0
Resort Hotel,IRL,No Deposit,2.0
Resort Hotel,ESP,No Deposit,2.0
Resort Hotel,IRL,No Deposit,2.0
Resort Hotel,PRT,No Deposit,2.0
Resort Hotel,USA,No Deposit,4.0
Resort Hotel,ESP,No Deposit,2.0
Resort Hotel,POL,No Deposit,2.0
Resort Hotel,PRT,No Deposit,3.0
Resort Hotel,PRT,No Deposit,2.0
Resort Hotel,PRT,No Deposit,2.0
Resort Hotel,PRT,No Deposit,2.0
Resort Hotel,PRT,No Deposit,2.0
Resort Hotel,ESP,No Deposit,2.0
Resort Hotel,PRT,No Deposit,3.0
Resort Hotel,ESP,No Deposit,2.0
Resort Hotel,PRT,No Deposit,2.0
Resort Hotel,PRT,No Deposit,1.0
Resort Hotel,DEU,No Deposit,2.0
Resort Hotel,PRT,No Deposit,3.0
Resort Hotel,FRA,No Deposit,2.0
Resort Hotel,PRT,No Deposit,2.0
Resort Hotel,GBR,No Deposit,2.0
Resort Hotel,PRT,No Deposit,2.0
