hotel,meal,deposit_type,total
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,1.0
Resort Hotel,BB,No Deposit,1.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,FB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,HB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,HB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,HB,No Deposit,3.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,1.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,HB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,1.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,3.0
Resort Hotel,BB,No Deposit,3.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,3.0
Resort Hotel,BB,No Deposit,3.0
Resort Hotel,HB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,HB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,4.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,HB,No Deposit,2.0
Resort Hotel,HB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,4.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,HB,No Deposit,2.0
Resort Hotel,BB,No Deposit,4.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,3.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,HB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,3.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,1.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,3.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,HB,No Deposit,2.0
Resort Hotel,HB,No Deposit,2.0
Resort Hotel,HB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,3.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,HB,No Deposit,3.0
Resort Hotel,BB,No Deposit,3.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,3.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,4.0
Resort Hotel,HB,No Deposit,3.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,3.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,HB,No Deposit,3.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,3.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,HB,No Deposit,3.0
Resort Hotel,BB,No Deposit,4.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,HB,No Deposit,1.0
Resort Hotel,BB,No Deposit,1.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,FB,No Deposit,4.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,1.0
Resort Hotel,BB,No Deposit,1.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,1.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,HB,No Deposit,3.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,3.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,4.0
Resort Hotel,HB,No Deposit,2.0
Resort Hotel,HB,No Deposit,4.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,HB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,4.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,3.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,HB,No Deposit,1.0
Resort Hotel,HB,No Deposit,2.0
Resort Hotel,BB,No Deposit,4.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,3.0
Resort Hotel,HB,No Deposit,4.0
Resort Hotel,BB,No Deposit,3.0
Resort Hotel,BB,No Deposit,3.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,1.0
Resort Hotel,BB,No Deposit,3.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,HB,No Deposit,2.0
Resort Hotel,HB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,HB,No Deposit,2.0
Resort Hotel,HB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,HB,No Deposit,4.0
Resort Hotel,HB,No Deposit,1.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,HB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,HB,No Deposit,2.0
Resort Hotel,HB,No Deposit,2.0
Resort Hotel,BB,No Deposit,1.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,HB,No Deposit,3.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,1.0
Resort Hotel,HB,No Deposit,3.0
Resort Hotel,BB,No Deposit,1.0
Resort Hotel,BB,No Deposit,5.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,HB,No Deposit,3.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,HB,No Deposit,2.0
Resort Hotel,HB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,HB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
Resort Hotel,BB,No Deposit,2.0
